
2024/09/12 (21:04:00) | ===> btop++ v.1.3.2
2024/09/12 (21:04:02) | ERROR: Stall in Runner thread, restarting!

2025/01/21 (21:41:22) | ===> btop++ v.1.4.0
2025/01/21 (21:41:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!

2025/02/08 (22:04:50) | ===> btop++ v.1.4.0
2025/02/08 (22:04:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (22:04:50) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/02/08 (22:04:50) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/08 (22:04:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/08 (22:04:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (22:04:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/08 (22:04:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/08 (22:04:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/17 (19:55:20) | ===> btop++ v.1.4.0
2025/02/17 (19:55:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/17 (19:55:20) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/02/17 (19:55:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/20 (17:11:07) | ===> btop++ v.1.4.0
2025/02/20 (17:11:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/20 (17:11:07) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/02/20 (17:11:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (17:58:45) | ===> btop++ v.1.4.0
2025/03/01 (17:58:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (17:58:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (18:01:11) | ===> btop++ v.1.4.0
2025/03/01 (18:01:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (18:01:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (18:02:32) | ===> btop++ v.1.4.0
2025/03/01 (18:02:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (18:02:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (18:07:55) | ===> btop++ v.1.4.0
2025/03/01 (18:07:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (18:07:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (18:20:18) | ===> btop++ v.1.4.0
2025/03/01 (18:20:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (18:20:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (18:33:43) | ===> btop++ v.1.4.0
2025/03/01 (18:33:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (18:33:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (19:01:56) | ===> btop++ v.1.4.0
2025/03/01 (19:01:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (19:01:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/26 (20:36:55) | ===> btop++ v.1.4.0
2025/03/26 (20:36:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (20:36:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/26 (20:45:33) | ===> btop++ v.1.4.0
2025/03/26 (20:45:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (20:45:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/27 (13:30:08) | ===> btop++ v.1.4.0
2025/03/27 (13:30:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/27 (13:30:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/27 (13:45:09) | ===> btop++ v.1.4.0
2025/03/27 (13:45:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/27 (13:45:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/27 (13:58:30) | ===> btop++ v.1.4.0
2025/03/27 (13:58:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/27 (13:58:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/27 (15:40:15) | ===> btop++ v.1.4.0
2025/03/27 (15:40:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/27 (15:40:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (13:49:34) | ===> btop++ v.1.4.0
2025/03/28 (13:49:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (13:49:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (16:11:54) | ===> btop++ v.1.4.0
2025/03/28 (16:11:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (16:11:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (16:18:10) | ===> btop++ v.1.4.0
2025/03/28 (16:18:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (16:18:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (16:37:37) | ===> btop++ v.1.4.0
2025/03/28 (16:37:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
